# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0005          	4.69670949e-02	-6.03639056e-21	-9.45320498e-02	-4.07134075e-21	-4.99546352e-03	-7.09003556e-23	2.34835474e-02	2.34835474e-02	-3.08909564e-21	-2.94729493e-21	-5.22614884e-02	-4.22705614e-02
0.001           	4.69662955e-02	-6.28155364e-21	-9.62338924e-02	-4.27443598e-21	-4.99025216e-03	-7.50287733e-23	2.34831477e-02	2.34831477e-02	-3.21580559e-21	-3.06574804e-21	-5.31071984e-02	-4.31266941e-02
0.0015          	4.69620003e-02	-6.31140958e-21	-1.00306699e-01	-4.25593398e-21	-4.98615560e-03	-7.28206374e-23	2.34810001e-02	2.34810001e-02	-3.22852542e-21	-3.08288415e-21	-5.51395051e-02	-4.51671939e-02
0.002           	4.69490022e-02	-6.29037476e-21	-9.94042088e-02	-4.24779385e-21	-4.99033101e-03	-7.29497068e-23	2.34745011e-02	2.34745011e-02	-3.21813709e-21	-3.07223767e-21	-5.46924354e-02	-4.47117734e-02
0.0025          	4.69516210e-02	-6.29905992e-21	-1.00085754e-01	-4.24702629e-21	-4.99406989e-03	-7.26379998e-23	2.34758105e-02	2.34758105e-02	-3.22216796e-21	-3.07689196e-21	-5.50369467e-02	-4.50488070e-02
0.003           	4.69506790e-02	-6.29052871e-21	-9.99622546e-02	-4.24114657e-21	-4.99316660e-03	-7.25149929e-23	2.34753395e-02	2.34753395e-02	-3.21777935e-21	-3.07274936e-21	-5.49742939e-02	-4.49879607e-02
0.0035          	4.69508186e-02	-6.29454868e-21	-1.00477322e-01	-4.23839254e-21	-4.99242819e-03	-7.22118216e-23	2.34754093e-02	2.34754093e-02	-3.21948616e-21	-3.07506252e-21	-5.52310893e-02	-4.52462329e-02
0.004           	4.69507965e-02	-6.28817092e-21	-1.00570036e-01	-4.23193812e-21	-4.99088795e-03	-7.19814631e-23	2.34753982e-02	2.34753982e-02	-3.21606692e-21	-3.07210400e-21	-5.52759060e-02	-4.52941301e-02
0.0045          	4.69505150e-02	-6.29429284e-21	-1.00929007e-01	-4.23265984e-21	-4.98886700e-03	-7.18421419e-23	2.34752575e-02	2.34752575e-02	-3.21898856e-21	-3.07530428e-21	-5.54533707e-02	-4.54756367e-02
0.005           	4.69508333e-02	-6.29930320e-21	-1.01060436e-01	-4.23501098e-21	-4.98638774e-03	-7.18447468e-23	2.34754167e-02	2.34754167e-02	-3.22149634e-21	-3.07780685e-21	-5.55166059e-02	-4.55438304e-02
0.0055          	4.69513580e-02	-6.30254709e-21	-1.01392790e-01	-4.23371749e-21	-4.98352442e-03	-7.16604878e-23	2.34756790e-02	2.34756790e-02	-3.22293403e-21	-3.07961306e-21	-5.56799195e-02	-4.57128707e-02
0.006           	4.69524584e-02	-6.30872079e-21	-1.01491476e-01	-4.23729154e-21	-4.98017028e-03	-7.17118979e-23	2.34762292e-02	2.34762292e-02	-3.22607229e-21	-3.08264850e-21	-5.57259082e-02	-4.57655677e-02
0.0065          	4.69533822e-02	-6.30980865e-21	-1.01678033e-01	-4.23585123e-21	-4.97629133e-03	-7.15853563e-23	2.34766911e-02	2.34766911e-02	-3.22648968e-21	-3.08331897e-21	-5.58153079e-02	-4.58627253e-02
0.007           	4.69543761e-02	-6.31449582e-21	-1.01918111e-01	-4.23674006e-21	-4.97204886e-03	-7.15007703e-23	2.34771881e-02	2.34771881e-02	-3.22874868e-21	-3.08574714e-21	-5.59311046e-02	-4.59870069e-02
0.0075          	4.69551282e-02	-6.31519375e-21	-1.02144205e-01	-4.23454848e-21	-4.96768221e-03	-7.13357738e-23	2.34775641e-02	2.34775641e-02	-3.22893265e-21	-3.08626110e-21	-5.60397847e-02	-4.61044203e-02
0.008           	4.69559088e-02	-6.32096713e-21	-1.02419419e-01	-4.23592830e-21	-4.96295790e-03	-7.12492168e-23	2.34779544e-02	2.34779544e-02	-3.23173278e-21	-3.08923435e-21	-5.61726673e-02	-4.62467515e-02
0.0085          	4.69564986e-02	-6.32431300e-21	-1.02670011e-01	-4.23566561e-21	-4.95794537e-03	-7.11279815e-23	2.34782493e-02	2.34782493e-02	-3.23328448e-21	-3.09102852e-21	-5.62929509e-02	-4.63770602e-02
0.009           	4.69569363e-02	-6.32770161e-21	-1.02886647e-01	-4.23575596e-21	-4.95270373e-03	-7.10303075e-23	2.34784682e-02	2.34784682e-02	-3.23488111e-21	-3.09282050e-21	-5.63960273e-02	-4.64906199e-02
0.0095          	4.69573169e-02	-6.33075412e-21	-1.03120376e-01	-4.23541669e-21	-4.94718964e-03	-7.09145245e-23	2.34786585e-02	2.34786585e-02	-3.23629159e-21	-3.09446254e-21	-5.65073777e-02	-4.66129984e-02
