# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0005          	3.19949728e+00	1.32916376e-20	-8.48857896e-01	2.21612996e-21	-9.41795515e-03	4.36833180e-21	1.59974864e+00	1.59974864e+00	1.10141506e-20	2.27748700e-21	-4.33846903e-01	-4.15010993e-01
0.001           	3.22363138e+00	1.48968048e-20	-8.60940535e-01	2.37337867e-21	-9.39467743e-03	4.27276464e-21	1.61181569e+00	1.61181569e+00	1.17211671e-20	3.17563778e-21	-4.39864945e-01	-4.21075590e-01
0.0015          	3.22661670e+00	1.47686287e-20	-9.03822282e-01	2.47636750e-21	-9.40877768e-03	4.35411055e-21	1.61330835e+00	1.61330835e+00	1.17384249e-20	3.03020379e-21	-4.61319919e-01	-4.42502363e-01
0.002           	3.21936146e+00	1.47290366e-20	-8.97895726e-01	2.44672158e-21	-9.35371798e-03	4.32645337e-21	1.60968073e+00	1.60968073e+00	1.16909717e-20	3.03806494e-21	-4.58301581e-01	-4.39594145e-01
0.0025          	3.22145731e+00	1.47112590e-20	-9.05457254e-01	2.46241971e-21	-9.31056595e-03	4.34838223e-21	1.61072866e+00	1.61072866e+00	1.17040117e-20	3.00724726e-21	-4.62039193e-01	-4.43418061e-01
0.003           	3.21872796e+00	1.46678102e-20	-9.05674600e-01	2.45743209e-21	-9.27403098e-03	4.33615295e-21	1.60936398e+00	1.60936398e+00	1.16700580e-20	2.99775215e-21	-4.62111331e-01	-4.43563269e-01
0.0035          	3.21984024e+00	1.46369059e-20	-9.11707615e-01	2.46848956e-21	-9.23111339e-03	4.35001761e-21	1.60992012e+00	1.60992012e+00	1.16684705e-20	2.96843532e-21	-4.65084921e-01	-4.46622694e-01
0.004           	3.21856788e+00	1.45865876e-20	-9.13756757e-01	2.46827480e-21	-9.19249837e-03	4.34641904e-21	1.60928394e+00	1.60928394e+00	1.16397129e-20	2.94687477e-21	-4.66070877e-01	-4.47685880e-01
0.0045          	3.21933380e+00	1.45821598e-20	-9.18393563e-01	2.47745256e-21	-9.14865421e-03	4.35599997e-21	1.60966690e+00	1.60966690e+00	1.16470799e-20	2.93507992e-21	-4.68345435e-01	-4.50048127e-01
0.005           	3.21928558e+00	1.45885315e-20	-9.20684537e-01	2.48207885e-21	-9.10708714e-03	4.35707113e-21	1.60964279e+00	1.60964279e+00	1.16513369e-20	2.93719459e-21	-4.69449356e-01	-4.51235181e-01
0.0055          	3.22060442e+00	1.45736700e-20	-9.24974773e-01	2.49078674e-21	-9.06292110e-03	4.36571901e-21	1.61030221e+00	1.61030221e+00	1.16525540e-20	2.92111598e-21	-4.71550308e-01	-4.53424465e-01
0.006           	3.22179964e+00	1.45939614e-20	-9.26987889e-01	2.49635767e-21	-9.01960605e-03	4.37042950e-21	1.61089982e+00	1.61089982e+00	1.16674102e-20	2.92655120e-21	-4.72513550e-01	-4.54474338e-01
0.0065          	3.22206509e+00	1.45776979e-20	-9.29844481e-01	2.50055553e-21	-8.97452960e-03	4.37448447e-21	1.61103255e+00	1.61103255e+00	1.16633334e-20	2.91436449e-21	-4.73896770e-01	-4.55947711e-01
0.007           	3.22310628e+00	1.45779912e-20	-9.33305780e-01	2.50791641e-21	-8.93045901e-03	4.38097322e-21	1.61155314e+00	1.61155314e+00	1.16699688e-20	2.90802237e-21	-4.75583349e-01	-4.57722431e-01
0.0075          	3.22349162e+00	1.45561661e-20	-9.36471934e-01	2.51280562e-21	-8.88420164e-03	4.38549090e-21	1.61174581e+00	1.61174581e+00	1.16635739e-20	2.89259213e-21	-4.77120169e-01	-4.59351766e-01
0.008           	3.22389381e+00	1.45511007e-20	-9.39981038e-01	2.52027390e-21	-8.83900888e-03	4.38925896e-21	1.61194690e+00	1.61194690e+00	1.16648093e-20	2.88629139e-21	-4.78829528e-01	-4.61151510e-01
0.0085          	3.22417810e+00	1.45426878e-20	-9.43533127e-01	2.52643441e-21	-8.79188300e-03	4.39479747e-21	1.61208905e+00	1.61208905e+00	1.16661414e-20	2.87654642e-21	-4.80558446e-01	-4.62974680e-01
0.009           	3.22446250e+00	1.45341455e-20	-9.46679867e-01	2.53193362e-21	-8.74467243e-03	4.39895590e-21	1.61223125e+00	1.61223125e+00	1.16660286e-20	2.86811683e-21	-4.82084606e-01	-4.64595261e-01
0.0095          	3.22532331e+00	1.45266681e-20	-9.50013518e-01	2.53833187e-21	-8.69703930e-03	4.40492845e-21	1.61266166e+00	1.61266166e+00	1.16682625e-20	2.85840558e-21	-4.83703798e-01	-4.66309720e-01
0.01            	3.22639800e+00	1.45242647e-20	-9.52114472e-01	2.54255013e-21	-8.64859743e-03	4.40916937e-21	1.61319900e+00	1.61319900e+00	1.16713017e-20	2.85296297e-21	-4.84705833e-01	-4.67408638e-01
0.0105          	3.22758607e+00	1.45353252e-20	-9.55868629e-01	2.55133148e-21	-8.59901933e-03	4.41705976e-21	1.61379303e+00	1.61379303e+00	1.16847224e-20	2.85060285e-21	-4.86533334e-01	-4.69335295e-01
0.011           	3.22867555e+00	1.45422470e-20	-9.57830375e-01	2.55584775e-21	-8.54915283e-03	4.42107121e-21	1.61433778e+00	1.61433778e+00	1.16921947e-20	2.85005229e-21	-4.87464340e-01	-4.70366035e-01
0.0115          	3.22753697e+00	1.45002951e-20	-9.62506419e-01	2.56137232e-21	-8.49811069e-03	4.42425204e-21	1.61376848e+00	1.61376848e+00	1.16743996e-20	2.82589549e-21	-4.89751320e-01	-4.72755099e-01
0.012           	3.22875262e+00	1.45007260e-20	-9.63891384e-01	2.56386844e-21	-8.44687644e-03	4.42868457e-21	1.61437631e+00	1.61437631e+00	1.16790476e-20	2.82167846e-21	-4.90392568e-01	-4.73498815e-01
0.0125          	3.22972174e+00	1.44984676e-20	-9.66398465e-01	2.56844343e-21	-8.39538854e-03	4.43377891e-21	1.61486087e+00	1.61486087e+00	1.16830127e-20	2.81545491e-21	-4.91594621e-01	-4.74803844e-01
0.013           	3.23022421e+00	1.44854255e-20	-9.67697420e-01	2.57006041e-21	-8.34232774e-03	4.43496992e-21	1.61511211e+00	1.61511211e+00	1.16776826e-20	2.80774281e-21	-4.92191038e-01	-4.75506382e-01
0.0135          	3.23057352e+00	1.44913673e-20	-9.71873803e-01	2.57857177e-21	-8.28877876e-03	4.44206883e-21	1.61528676e+00	1.61528676e+00	1.16877525e-20	2.80361480e-21	-4.94225680e-01	-4.77648123e-01
0.014           	3.23141377e+00	1.44928365e-20	-9.74639270e-01	2.58378711e-21	-8.23439528e-03	4.44748098e-21	1.61570688e+00	1.61570688e+00	1.16938992e-20	2.79893728e-21	-4.95554030e-01	-4.79085240e-01
0.0145          	3.23219648e+00	1.44897857e-20	-9.77653209e-01	2.58968516e-21	-8.17950787e-03	4.45289440e-21	1.61609824e+00	1.61609824e+00	1.16977872e-20	2.79199845e-21	-4.97006112e-01	-4.80647096e-01
0.015           	3.23248912e+00	1.44887968e-20	-9.79388797e-01	2.59213102e-21	-8.12398572e-03	4.45544984e-21	1.61624456e+00	1.61624456e+00	1.16998482e-20	2.78894855e-21	-4.97818384e-01	-4.81570413e-01
