# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0005          	3.19864521e+00	1.43846985e-20	-8.48559166e-01	2.21439244e-21	-9.41842661e-03	2.33708188e-21	1.59932260e+00	1.59932260e+00	9.52943111e-21	4.85526736e-21	-4.33698010e-01	-4.14861157e-01
0.001           	3.22419639e+00	1.56768235e-20	-8.61248414e-01	2.23178291e-21	-9.39526336e-03	2.31676909e-21	1.61209819e+00	1.61209819e+00	1.01551808e-20	5.52164267e-21	-4.40019470e-01	-4.21228943e-01
0.0015          	3.22658876e+00	1.54955988e-20	-9.03729019e-01	2.33810716e-21	-9.40904680e-03	2.37866585e-21	1.61329438e+00	1.61329438e+00	1.01264653e-20	5.36913357e-21	-4.61273556e-01	-4.42455463e-01
0.002           	3.21933409e+00	1.54729220e-20	-8.97970148e-01	2.31318402e-21	-9.35412665e-03	2.35482681e-21	1.60966705e+00	1.60966705e+00	1.00912878e-20	5.38163419e-21	-4.58339201e-01	-4.39630947e-01
0.0025          	3.22145438e+00	1.54471806e-20	-9.05396608e-01	2.32787281e-21	-9.31105493e-03	2.37694706e-21	1.61072719e+00	1.61072719e+00	1.01005374e-20	5.34664323e-21	-4.62009359e-01	-4.43387249e-01
0.003           	3.21875218e+00	1.54129493e-20	-9.05741229e-01	2.32751370e-21	-9.27446407e-03	2.36667404e-21	1.60937609e+00	1.60937609e+00	1.00731487e-20	5.33980060e-21	-4.62145079e-01	-4.43596151e-01
0.0035          	3.21978702e+00	1.53820912e-20	-9.11647067e-01	2.33949114e-21	-9.23151638e-03	2.38023763e-21	1.60989351e+00	1.60989351e+00	1.00712833e-20	5.31080799e-21	-4.65055050e-01	-4.46592017e-01
0.004           	3.21863410e+00	1.53385636e-20	-9.13833752e-01	2.34422382e-21	-9.19285471e-03	2.37800143e-21	1.60931705e+00	1.60931705e+00	1.00472832e-20	5.29128037e-21	-4.66109730e-01	-4.47724021e-01
0.0045          	3.21924457e+00	1.53324002e-20	-9.18324067e-01	2.35234178e-21	-9.14900612e-03	2.38792395e-21	1.60962229e+00	1.60962229e+00	1.00541241e-20	5.27827617e-21	-4.68311040e-01	-4.50013027e-01
0.005           	3.21939552e+00	1.53355695e-20	-9.20761539e-01	2.35665751e-21	-9.10741368e-03	2.39112988e-21	1.60969776e+00	1.60969776e+00	1.00589147e-20	5.27665489e-21	-4.69488183e-01	-4.51273356e-01
